gene
COL8A1 (1295)
PDZK1IP1 (10158)
KLK6 (5653)
ABCC3 (8714)
SERPINB2 (5055)
TMEM98 (26022)
ID1 (3397)
LYZ (4069)
CSTA (1475)
PLOD2 (5352)
TNNT1 (7138)
CD52 (1043)
TPM1 (7168)
SNCA (6622)
RGS4 (5999)
MYEOV (26579)
EIF1AY (9086)
MFAP2 (4237)
CSAG1 (158511)
FABP5 (2171)
KRT14 (3861)
ITGA5 (3678)
CTHRC1 (115908)
G0S2 (50486)
CDH11 (1009)
IL6 (3569)
SCG2 (7857)
C1S (716)
MCAM (4162)
RHOD (29984)
AKR1B10 (57016)
LAMB2 (3913)
LOXL1 (4016)
SFRP1 (6422)
QPCT (25797)
ADAMTS1 (9510)
PLS3 (5358)
GAS6 (2621)
HMGA2 (8091)
MAGEA4 (4103)
OCIAD2 (132299)
CST6 (1474)
NQO1 (1728)
IRAG2 (4033)
AEBP1 (165)
ANXA6 (309)
SERPINA1 (5265)
FHL2 (2274)
H1-0 (3005)
MRC2 (9902)
TIMP2 (7077)
MIA (8190)
KRT80 (144501)
THBS2 (7058)
TCEAL9 (51186)
DSG2 (1829)
ERBB3 (2065)
SLC16A3 (9123)
CD68 (968)
ANXA8L1 (728113)
AMIGO2 (347902)
TNFSF10 (8743)
GPX8 (493869)
IL2RG (3561)
EHD2 (30846)
MFAP5 (8076)
PERP (64065)
MSN (4478)
CDH13 (1012)
JUP (3728)
DDX3Y (8653)
SNCG (6623)
LAMA3 (3909)
CD53 (963)
CRIP2 (1397)
MAGEA12 (4111)
VAMP5 (10791)
PLIN2 (123)
H2AJ (55766)
IGF2 (3481)
FXYD5 (53827)
C1R (715)
TMSB15A (11013)
SEMA3C (10512)
SLC2A3 (6515)
KRT13 (3860)
BMP4 (652)
MPZL2 (10205)
SDC4 (6385)
NID1 (4811)
PMEL (6490)
OSMR (9180)
MMP7 (4316)
LEF1 (51176)
IL1B (3553)
MZB1 (51237)
S100B (6285)
PRSS3 (5646)
EPS8L2 (64787)
KRT15 (3866)
FAM20C (56975)
AQP3 (360)
PTPN6 (5777)
EGFR (1956)
FLNC (2318)
GSTP1 (2950)
BEX4 (56271)
LRATD2 (157638)
GSTM1 (2944)
PTN (5764)
HSPA1A (3303)
PDLIM4 (8572)
P3H2 (55214)
RCN3 (57333)
TMPRSS4 (56649)
EPHA2 (1969)
FAT1 (2195)
PTGR1 (22949)
IFI44 (10561)
MAGED4B (81557)
PLAAT4 (5920)
PLEK2 (26499)
NREP (9315)
ADM (133)
SELENBP1 (8991)
NES (10763)
NRP1 (8829)
MET (4233)
TRIM22 (10346)
TESC (54997)
RND3 (390)
GPX3 (2878)
CDA (978)
PRSS22 (64063)
HLA-DQA1 (3117)
ANTXR1 (84168)
BACE2 (25825)
FSCN1 (6624)
CRIM1 (51232)
MSLN (10232)
KIRREL1 (55243)
SLFN11 (91607)
TNFRSF11B (4982)
NTN4 (59277)
RAB32 (10981)
BEX2 (84707)
ECM1 (1893)
CD48 (962)
ICAM1 (3383)
CFH (3075)
BCAM (4059)
SERPINA3 (12)
KYNU (8942)
AKR1B1 (231)
SERPINF1 (5176)
ITGB5 (3693)
PLTP (5360)
MST1R (4486)
LAMA5 (3911)
GLUL (2752)
CD79A (973)
DCBLD2 (131566)
ANXA2 (302)
HLA-DQB1 (3119)
CDCP1 (64866)
MAP1B (4131)
GNG11 (2791)
HNMT (3176)
MYH14 (79784)
CLDN3 (1365)
SELENOM (140606)
PLBD1 (79887)
CLDN11 (5010)
NRN1 (51299)
AKAP12 (9590)
LDOC1 (23641)
CREB3L1 (90993)
PMEPA1 (56937)
CLEC11A (6320)
APOC1 (341)
CA2 (760)
EVA1A (84141)
MISP (126353)
SNAI2 (6591)
BCAT1 (586)
F2RL1 (2150)
FEZ1 (9638)
ARMCX2 (9823)
LY6K (54742)
ITGBL1 (9358)
TMSB4X (7114)
DAB2 (1601)
WLS (79971)
NMU (10874)
SDC1 (6382)
TUBA4A (7277)
PDLIM1 (9124)
MUC1 (4582)
TFF3 (7033)
TNS4 (84951)
CYP1B1 (1545)
AZGP1 (563)
PYCARD (29108)
INHBA (3624)
DEFB1 (1672)
IRF6 (3664)
GPRC5C (55890)
UCP2 (7351)
CD79B (974)
JAM3 (83700)
MAGEA2 (4101)
IFI6 (2537)
KCNMA1 (3778)
RAMP1 (10267)
CEMIP (57214)
YAP1 (10413)
PHLDA2 (7262)
PYGL (5836)
CPVL (54504)
APOL1 (8542)
PLAAT3 (11145)
DHRS3 (9249)
FGFR1 (2260)
OLFML3 (56944)
PRRX1 (5396)
CKMT1A (548596)
ARHGAP4 (393)
CKMT1B (1159)
ID3 (3399)
FRMD6 (122786)
CYBRD1 (79901)
HSPB8 (26353)
FOSB (2354)
LBH (81606)
CNRIP1 (25927)
GNG12 (55970)
LIF (3976)
TGFA (7039)
LSP1 (4046)
FXYD6 (53826)
EREG (2069)
ALDH2 (217)
ERRFI1 (54206)
SERINC2 (347735)
ATP2A3 (489)
RARRES2 (5919)
MFNG (4242)
CTSH (1512)
EPB41L3 (23136)
WWTR1 (25937)
PROCR (10544)
ACKR3 (57007)
COL18A1 (80781)
CES1 (1066)
GLIPR1 (11010)
ITGA4 (3676)
PHLDA1 (22822)
EFEMP2 (30008)
NCAM1 (4684)
CA12 (771)
GRB7 (2886)
AHNAK2 (113146)
CD37 (951)
MT1F (4494)
HLA-DRB5 (3127)
MYLK (4638)
FADS2 (9415)
PFN2 (5217)
GALNT3 (2591)
GAL (51083)
PAGE5 (90737)
LIMCH1 (22998)
MICAL2 (9645)
COL7A1 (1294)
SCG5 (6447)
AMOTL2 (51421)
ACSL5 (51703)
COL11A1 (1301)
C3orf14 (57415)
CFB (629)
SULF1 (23213)
TUBB3 (10381)
KCNN4 (3783)
PTPN7 (5778)
ITM2A (9452)
CEACAM5 (1048)
FERMT3 (83706)
DDR2 (4921)
TGFB2 (7042)
NID2 (22795)
ENG (2022)
MFAP4 (4239)
APP (351)
SGK1 (6446)
LXN (56925)
LGALS9 (3965)
DUSP4 (1846)
PCDH1 (5097)
TP53I11 (9537)
ADGRF1 (266977)
TGFB1I1 (7041)
WNT5A (7474)
ESRP2 (80004)
HOXA9 (3205)
ALDH7A1 (501)
HOXC10 (3226)
PCOLCE (5118)
CDC42EP1 (11135)
MX1 (4599)
SERPINH1 (871)
COPZ2 (51226)
RPL39L (116832)
LAYN (143903)
OAS1 (4938)
KLF5 (688)
P3H3 (10536)
STEAP1 (26872)
ICAM2 (3384)
BCHE (590)
CLMP (79827)
HTATIP2 (10553)
KLK8 (11202)
EPDR1 (54749)
KRTCAP3 (200634)
TFF1 (7031)
NRP2 (8828)
BAMBI (25805)
EPAS1 (2034)
APOD (347)
NRCAM (4897)
TCIM (56892)
ZEB2 (9839)
PPL (5493)
CRB3 (92359)
A2M (2)
NLRP2 (55655)
UNC13D (201294)
KIF1A (547)
FBLIM1 (54751)
ROBO1 (6091)
STC1 (6781)
TRPV2 (51393)
PPARG (5468)
SAA2 (6289)
MT1G (4495)
SELENOP (6414)
S100A13 (6284)
APLP1 (333)
ITGA6 (3655)
FAP (2191)
CBS (875)
MATN2 (4147)
CASP1 (834)
LAPTM4B (55353)
SYK (6850)
HLA-F (3134)
MACROH2A2 (55506)
GJB3 (2707)
MSC (9242)
BIRC3 (330)
MYB (4602)
BCL2A1 (597)
PTPRCAP (5790)
KLK10 (5655)
PRSS21 (10942)
SLC17A9 (63910)
UPP1 (7378)
ANO1 (55107)
CCND2 (894)
PPIC (5480)
CSAG3 (389903)
NUP210 (23225)
ARHGAP29 (9411)
CXCL5 (6374)
CD40 (958)
PHLDB2 (90102)
GNG2 (54331)
TES (26136)
COL9A3 (1299)
CTSS (1520)
ITGB3 (3690)
F2R (2149)
LLGL2 (3993)
GALNT14 (79623)
ADGRL2 (23266)
MXRA8 (54587)
TRIB2 (28951)
GPC1 (2817)
DOCK2 (1794)
IL13RA2 (3598)
PTPRC (5788)
NPNT (255743)
ISG15 (9636)
PAPSS2 (9060)
SERPINB1 (1992)
ATP1B1 (481)
KLK5 (25818)
PTGFRN (5738)
TUBB6 (84617)
KRT16 (3868)
SPART (23111)
TMEM139 (135932)
FKBP9 (11328)
ICA1 (3382)
LDHB (3945)
PROM2 (150696)
AHNAK (79026)
ITGB2 (3689)
LGALS4 (3960)
FCRLA (84824)
NDRG1 (10397)
OLFM1 (10439)
INPP5D (3635)
RFTN1 (23180)
COCH (1690)
PHLDA3 (23612)
PODXL2 (50512)
TSPAN13 (27075)
PSMB9 (5698)
PTK7 (5754)
HEG1 (57493)
TXNIP (10628)
CSRP2 (1466)
NRG1 (3084)
SV2A (9900)
ADGRG6 (57211)
PTHLH (5744)
STMN3 (50861)
KDELR3 (11015)
VGLL1 (51442)
MXRA7 (439921)
MFGE8 (4240)
CXCL12 (6387)
TRIP6 (7205)
EGR1 (1958)
MYEF2 (50804)
VEGFC (7424)
