run,fold,epoch,train_loss,val_loss,val_auc,val_f1,lr
v2_hybrid,0,1,0.5758403033254015,0.6517386460185643,0.6585664692668981,0.7323943661971831,0.001
v2_hybrid,0,2,0.5518981511381077,0.8218015556904807,0.562895650398203,0.0,0.001
v2_hybrid,0,3,0.5456588709155195,0.650001257806275,0.7066571370226669,0.7407407407407407,0.001
v2_hybrid,0,4,0.5395179842791226,0.7251158424870885,0.6660200122523995,0.2585034013605442,0.001
v2_hybrid,0,5,0.5370377316848164,0.6942497082610628,0.7104349601797019,0.36363636363636365,0.001
v2_hybrid,0,6,0.5333664099060871,0.6199122329256428,0.7189095364508883,0.7320754716981132,0.001
v2_hybrid,0,7,0.5351744851944419,0.6249900125152436,0.7088013069226057,0.7280334728033473,0.001
v2_hybrid,0,8,0.5359099675084587,0.7026854320545102,0.7049213804370024,0.4074074074074074,0.001
v2_hybrid,0,9,0.531742834740809,0.6084776256808001,0.7213600163365325,0.7258064516129032,0.001
v2_hybrid,0,10,0.5253442532678603,0.6153170481250061,0.7259546661221156,0.7407407407407407,0.001
v2_hybrid,0,11,0.5305224289837488,0.6523386162904957,0.7213600163365326,0.7419354838709677,0.001
v2_hybrid,0,12,0.5296870628887871,0.6658239744195891,0.7146211966510108,0.6105263157894737,0.001
v2_hybrid,0,13,0.5293860102339386,0.6706694133246123,0.7075760669797836,0.6073298429319371,0.001
v2_hybrid,0,14,0.5300670724326094,0.6153615932559493,0.7090055135797427,0.7348484848484849,0.001
v2_hybrid,0,15,0.5268009598567597,0.6246824786437685,0.7098223402082907,0.7467811158798283,0.001
v2_hybrid,0,16,0.5268460462883888,1.1881064277383226,0.5384929548703287,0.01680672268907563,0.001
v2_hybrid,0,17,0.5272067322632463,0.6929535889506933,0.6859301613232592,0.5355191256830601,0.001
v2_hybrid,0,18,0.5238912675395385,0.976206689331662,0.5139881560138861,0.24675324675324675,0.001
v2_hybrid,0,19,0.5284877028660283,0.7925466921792101,0.6950173575658566,0.7398119122257053,0.001
v2_hybrid,0,20,0.5509759772736038,0.6173185993782917,0.725239942822136,0.7465753424657534,0.001
v2_hybrid,0,21,0.5262119325505292,0.6052268014025333,0.7226873596079232,0.7368421052631579,0.001
v2_hybrid,0,22,0.5191335514541666,0.6047260488443706,0.7288135593220338,0.7264957264957265,0.0005
v2_hybrid,0,23,0.5187826517808826,0.6007426200221427,0.730243005921993,0.7385892116182573,0.0005
v2_hybrid,0,24,0.5200296114334015,0.6338151675551685,0.7062487237083929,0.740484429065744,0.0005
v2_hybrid,0,25,0.5236512464761943,0.6011869421052696,0.7301409025934246,0.7333333333333333,0.0005
v2_hybrid,0,26,0.5213821917746082,0.630393469511573,0.715438023279559,0.7272727272727273,0.0005
v2_hybrid,0,27,0.5183332205972025,0.6030092808737684,0.7237083928936083,0.7419354838709677,0.0005
v2_hybrid,0,28,0.5200062460194792,0.7110848948730165,0.6955278742086992,0.5310734463276836,0.0005
v2_hybrid,0,29,0.5196573309135102,0.5996870377763587,0.7309577292219727,0.7450980392156863,0.0005
v2_hybrid,0,30,0.522707250156,0.6041613692667946,0.724831529507862,0.7368421052631579,0.0005
v2_hybrid,0,31,0.5177111647688933,0.5992664199563401,0.7291198693077394,0.7569721115537849,0.0005
v2_hybrid,0,32,0.5185704077139379,0.5978806196753659,0.7309577292219727,0.7421875,0.0005
v2_hybrid,0,33,0.5141134969267598,0.6368461746481521,0.72084949969369,0.6862745098039216,0.0005
v2_hybrid,0,34,0.5198235797483667,0.6040123944258808,0.7301409025934246,0.7468879668049793,0.0005
v2_hybrid,0,35,0.5187622553545231,0.6361314526837857,0.7097202368797223,0.7368421052631579,0.0005
v2_hybrid,0,36,0.5191972289781562,0.6218651776290058,0.7277925260363489,0.7602739726027398,0.0005
v2_hybrid,0,37,0.52007801483468,0.6151664292634423,0.7283030426791914,0.7004608294930875,0.0005
v2_hybrid,0,38,0.5147488171999771,0.630364095393698,0.716459056565244,0.7014218009478673,0.0005
v2_hybrid,0,39,0.5185362692191712,0.7553187792573995,0.6729630385950582,0.32679738562091504,0.0005
v2_hybrid,0,40,0.5190280301851878,0.886598297612584,0.6363079436389626,0.2014388489208633,0.0005
v2_hybrid,0,41,0.5141667424321908,0.6009611276844841,0.7313661425362467,0.7388059701492538,0.00025
v2_hybrid,0,42,0.5145177965952622,0.73112315562234,0.6742903818664489,0.47126436781609193,0.00025
v2_hybrid,0,43,0.5153196578814255,0.627500823481166,0.720645293036553,0.7169811320754716,0.00025
v2_hybrid,0,44,0.5126208861668905,0.597012439177404,0.7345313457218705,0.7596899224806202,0.00025
v2_hybrid,0,45,0.5166815491548838,0.6875718719330594,0.7073718603226467,0.5957446808510638,0.00025
v2_hybrid,0,46,0.5136239762985612,0.6067638895404872,0.733612415764754,0.7571428571428571,0.00025
v2_hybrid,0,47,0.5147821434569547,0.599326017484143,0.7286093526648969,0.7510204081632653,0.00025
v2_hybrid,0,48,0.5147110377368742,0.5953638684097214,0.7351439656932817,0.7452471482889734,0.00025
v2_hybrid,0,49,0.5160192078996774,0.6167288633128304,0.730243005921993,0.7474048442906575,0.00025
v2_hybrid,0,50,0.5131773333750803,0.6715180031695769,0.7001225239942822,0.6185567010309279,0.00025
v2_hybrid,0,51,0.513936051645086,0.602853926853161,0.734633449050439,0.7428571428571429,0.00025
v2_hybrid,0,52,0.5122333430834999,0.6810502294284194,0.7098223402082909,0.5968586387434555,0.00025
v2_hybrid,0,53,0.5136373430464283,0.677744943704178,0.7105370635082704,0.5894736842105263,0.00025
v2_hybrid,0,54,0.5124955893139517,0.6021563093460615,0.7278946293649173,0.7447698744769874,0.00025
v2_hybrid,0,55,0.5121950475710363,0.6203511461096617,0.721666326322238,0.7456445993031359,0.00025
v2_hybrid,0,56,0.517491852466538,0.6042703348605787,0.7322850724933633,0.7327586206896551,0.00025
v2_hybrid,0,57,0.5116708322166872,0.5987685948462036,0.7344292423933019,0.7619047619047619,0.00025
v2_hybrid,0,58,0.5141411397733915,0.5991210605374616,0.7363692056361038,0.7509025270758123,0.00025
v2_hybrid,0,59,0.5137415555033017,0.6488523151150983,0.7050234837655707,0.6859903381642513,0.00025
v2_hybrid,0,60,0.5135359386131233,0.5965632348511349,0.7353481723504186,0.7469879518072289,0.00025
v2_hybrid,0,61,0.5129528744449297,0.6361439121303274,0.7231978762507658,0.6862745098039216,0.00025
v2_hybrid,0,62,0.5141727311000975,0.6236175186005398,0.7291198693077394,0.7567567567567568,0.00025
v2_hybrid,0,63,0.5173426025408658,0.6028066132199111,0.7317745558505206,0.7350427350427351,0.00025
