class,precision,recall,f1,support,model
Missense,0.6376963350785341,0.9697452229299363,0.7694251421351863,628,xgb
Truncating,1.0,0.008849557522123894,0.017543859649122806,113,xgb
Other,0.26666666666666666,0.0326530612244898,0.05818181818181818,245,xgb
Missense,0.6599713055954088,0.732484076433121,0.6943396226415094,628,logreg
Truncating,0.234375,0.13274336283185842,0.1694915254237288,113,logreg
Other,0.25333333333333335,0.23265306122448978,0.2425531914893617,245,logreg
