strategy,threshold,accuracy,precision,recall,f1,predicted_positive_rate
default_0.5,0.5,0.5360873694207028,0.43888807177526107,0.9697757556061098,0.604293236127987,0.8070987654320988
f1_optimal_ccle,0.4499999999999999,0.5138888888888888,0.4274928774928775,0.9753006174845629,0.5944339902941468,0.8333333333333334
prevalence_matched,0.9308726936075499,0.7378917378917379,0.6412089697757556,0.6412089697757556,0.6412089697757556,0.3652659069325736
