run,fold,epoch,train_loss,val_loss,val_auc,val_f1,lr
v2_thr07,0,1,0.5819090507275826,0.7345623780245805,0.6286501939963243,0.01652892561983471,0.001
v2_thr07,0,2,0.5578636938579898,0.6522322507640023,0.6526444762099244,0.7518248175182481,0.001
v2_thr07,0,3,0.549749041243195,0.7384156326749431,0.5955687155401266,0.22857142857142856,0.001
v2_thr07,0,4,0.5442050433305659,0.7201201215905336,0.6408004900959772,0.2972972972972973,0.001
v2_thr07,0,5,0.5434609821939427,0.6406825454673957,0.6775576883806411,0.743859649122807,0.001
v2_thr07,0,6,0.5409867574011116,0.7225411448312636,0.6051664284255667,0.35443037974683544,0.001
v2_thr07,0,7,0.5413158156416766,0.9416774730777266,0.5645293036552992,0.06451612903225806,0.001
v2_thr07,0,8,0.5416757282501999,0.8329208241173284,0.6254849908107004,0.06451612903225806,0.001
v2_thr07,0,9,0.540542967401268,0.6490217322733864,0.6734735552379006,0.7154471544715447,0.001
v2_thr07,0,10,0.5330273641655082,0.655603693492377,0.6842965080661629,0.6787330316742082,0.001
v2_thr07,0,11,0.5408392111355522,0.7001502857872502,0.6969573208086584,0.7318611987381703,0.001
v2_thr07,0,12,0.536714234001928,0.6448568277691135,0.702879313865632,0.7508305647840532,0.001
v2_thr07,0,13,0.5378513253353726,0.8767790248738,0.6428425566673472,0.07936507936507936,0.001
v2_thr07,0,14,0.5408322179432804,0.6283183643473914,0.7013477639371044,0.7535211267605634,0.001
v2_thr07,0,15,0.5337761878023676,0.6359645074872828,0.7036961404941801,0.7422680412371134,0.001
v2_thr07,0,16,0.5331280804980504,1.1886488549151824,0.5426791913416378,0.016666666666666666,0.001
v2_thr07,0,17,0.531305306976892,0.6250425405170194,0.7115580967939555,0.75,0.001
v2_thr07,0,18,0.5312188992189962,1.328234482760453,0.5418623647130896,0.016666666666666666,0.001
v2_thr07,0,19,0.532844592944089,0.838734479685921,0.7060445170512558,0.7398119122257053,0.001
v2_thr07,0,20,0.557339890703572,0.6845296057895641,0.6615274657953849,0.5473684210526316,0.001
v2_thr07,0,21,0.5300474698436606,0.6265600451189487,0.7153359199509904,0.7534246575342466,0.001
v2_thr07,0,22,0.5290886842061683,0.6221208430048245,0.710434960179702,0.7604562737642585,0.001
v2_thr07,0,23,0.5388299607874116,0.646209033567514,0.7045129671227283,0.7482993197278912,0.001
v2_thr07,0,24,0.5322502614011236,0.7099280808102432,0.7021645905656524,0.7341772151898734,0.001
v2_thr07,0,25,0.534080411115024,0.6264549369242653,0.7102307535225649,0.7491408934707904,0.001
v2_thr07,0,26,0.5327891890375679,0.6231273560974728,0.7151317132938534,0.7529411764705882,0.001
v2_thr07,0,27,0.5243938649392694,0.6975530320732155,0.7190116397794568,0.740506329113924,0.001
v2_thr07,0,28,0.5288335931542262,0.7621284883413741,0.6639779456810291,0.2702702702702703,0.001
