class,precision,recall,f1,support,model
Missense,0.7341317365269461,1.0,0.8466850828729282,613,xgb
Nonsense,0.0,0.0,0.0,109,xgb
Frameshift,0.0,0.0,0.0,48,xgb
Splice,0.0,0.0,0.0,65,xgb
Missense,0.7431318681318682,0.8825448613376835,0.8068605518269948,613,logreg
Nonsense,0.21875,0.12844036697247707,0.16184971098265896,109,logreg
Frameshift,0.2222222222222222,0.08333333333333333,0.12121212121212122,48,logreg
Splice,0.12,0.046153846153846156,0.06666666666666667,65,logreg
